Date/Time,Unit,Value,Sensor
8/1/2017 15:00,C,46.537,RC1L
8/1/2017 14:00,C,27.589,MC1L
8/1/2017 14:00,C,27.131,MC1H
8/1/2017 14:00,C,60.455,RC1H
8/1/2017 14:00,C,45.044,RC1L
8/1/2017 13:00,C,26.09,MC1L
8/1/2017 13:00,C,25.131,MC1H
8/1/2017 13:00,C,54.495,RC1H
8/1/2017 13:00,C,41.059,RC1L
8/1/2017 12:00,C,24.09,MC1L
8/1/2017 12:00,C,23.13,MC1H
8/1/2017 12:00,C,49.026,RC1H
8/1/2017 12:00,C,36.572,RC1L
8/1/2017 11:00,C,20.587,MC1L
8/1/2017 11:00,C,21.129,MC1H
8/1/2017 11:00,C,42.553,RC1H
8/1/2017 11:00,C,28.584,RC1L
8/1/2017 10:00,C,18.083,MC1L
8/1/2017 10:00,C,19.127,MC1H
8/1/2017 10:00,C,34.576,RC1H
8/1/2017 10:00,C,22.085,RC1L
8/1/2017 9:00,C,16.579,MC1L
8/1/2017 9:00,C,18.126,MC1H
8/1/2017 9:00,C,26.586,RC1H
8/1/2017 9:00,C,19.083,RC1L
8/1/2017 8:00,C,16.579,MC1L
8/1/2017 8:00,C,17.625,MC1H
8/1/2017 8:00,C,22.085,RC1H
8/1/2017 8:00,C,16.078,RC1L
8/1/2017 7:00,C,16.078,MC1L
8/1/2017 7:00,C,17.625,MC1H
8/1/2017 7:00,C,21.085,RC1H
8/1/2017 7:00,C,15.077,RC1L
8/1/2017 6:00,C,15.577,MC1L
8/1/2017 6:00,C,17.125,MC1H
8/1/2017 6:00,C,20.584,RC1H
8/1/2017 6:00,C,14.576,RC1L
8/1/2017 5:00,C,15.075,MC1L
8/1/2017 5:00,C,16.624,MC1H
8/1/2017 5:00,C,19.583,RC1H
8/1/2017 5:00,C,14.075,RC1L
8/1/2017 4:00,C,15.075,MC1L
8/1/2017 4:00,C,17.125,MC1H
8/1/2017 4:00,C,19.583,RC1H
8/1/2017 4:00,C,14.075,RC1L
8/1/2017 3:00,C,15.577,MC1L
8/1/2017 3:00,C,17.625,MC1H
8/1/2017 3:00,C,20.584,RC1H
8/1/2017 3:00,C,15.077,RC1L
8/1/2017 2:00,C,16.579,MC1L
8/1/2017 2:00,C,18.126,MC1H
8/1/2017 2:00,C,21.585,RC1H
8/1/2017 2:00,C,15.578,RC1L
8/1/2017 1:00,C,16.579,MC1L
8/1/2017 1:00,C,18.627,MC1H
8/1/2017 1:00,C,22.085,RC1H
8/1/2017 1:00,C,16.078,RC1L
8/1/2017 0:00,C,17.582,MC1L
8/1/2017 0:00,C,19.127,MC1H
8/1/2017 0:00,C,23.086,RC1H
8/1/2017 0:00,C,17.08,RC1L
7/31/2017 23:00,C,18.584,MC1L
7/31/2017 23:00,C,20.128,MC1H
7/31/2017 23:00,C,24.086,RC1H
7/31/2017 23:00,C,18.082,RC1L
7/31/2017 22:00,C,19.084,MC1L
7/31/2017 22:00,C,21.129,MC1H
7/31/2017 22:00,C,25.586,RC1H
7/31/2017 22:00,C,19.583,RC1L
7/31/2017 21:00,C,21.087,MC1L
7/31/2017 21:00,C,22.63,MC1H
7/31/2017 21:00,C,28.584,RC1H
7/31/2017 21:00,C,22.586,RC1L
7/31/2017 20:00,C,23.589,MC1L
7/31/2017 20:00,C,24.631,MC1H
7/31/2017 20:00,C,35.075,RC1H
7/31/2017 20:00,C,27.085,RC1L
7/31/2017 19:00,C,25.09,MC1L
7/31/2017 19:00,C,25.631,MC1H
7/31/2017 19:00,C,42.055,RC1H
7/31/2017 19:00,C,30.083,RC1L
7/31/2017 18:00,C,27.589,MC1L
7/31/2017 18:00,C,26.131,MC1H
7/31/2017 18:00,C,49.026,RC1H
7/31/2017 18:00,C,33.079,RC1L
7/31/2017 17:00,C,26.09,MC1L
7/31/2017 17:00,C,27.131,MC1H
7/31/2017 17:00,C,54.495,RC1H
7/31/2017 17:00,C,40.062,RC1L
7/31/2017 16:00,C,24.59,MC1L
7/31/2017 16:00,C,26.131,MC1H
7/31/2017 16:00,C,57.476,RC1H
7/31/2017 16:00,C,42.055,RC1L
7/31/2017 15:00,C,26.59,MC1L
7/31/2017 15:00,C,24.631,MC1H
7/31/2017 15:00,C,57.476,RC1H
7/31/2017 15:00,C,41.059,RC1L
7/31/2017 14:00,C,24.09,MC1L
7/31/2017 14:00,C,23.631,MC1H
7/31/2017 14:00,C,56.483,RC1H
7/31/2017 14:00,C,39.563,RC1L
7/31/2017 13:00,C,23.089,MC1L
7/31/2017 13:00,C,22.13,MC1H
7/31/2017 13:00,C,51.513,RC1H
7/31/2017 13:00,C,37.07,RC1L
7/31/2017 12:00,C,21.087,MC1L
7/31/2017 12:00,C,20.128,MC1H
7/31/2017 12:00,C,45.044,RC1H
7/31/2017 12:00,C,32.08,RC1L
7/31/2017 11:00,C,17.582,MC1L
7/31/2017 11:00,C,18.126,MC1H
7/31/2017 11:00,C,38.566,RC1H
7/31/2017 11:00,C,24.086,RC1L
7/31/2017 10:00,C,15.577,MC1L
7/31/2017 10:00,C,16.624,MC1H
7/31/2017 10:00,C,31.082,RC1H
7/31/2017 10:00,C,18.082,RC1L
7/31/2017 9:00,C,14.073,MC1L
7/31/2017 9:00,C,15.622,MC1H
7/31/2017 9:00,C,23.086,RC1H
7/31/2017 9:00,C,15.077,RC1L
7/31/2017 8:00,C,13.571,MC1L
7/31/2017 8:00,C,15.121,MC1H
7/31/2017 8:00,C,19.583,RC1H
7/31/2017 8:00,C,13.573,RC1L
7/31/2017 7:00,C,13.069,MC1L
7/31/2017 7:00,C,15.121,MC1H
7/31/2017 7:00,C,19.583,RC1H
7/31/2017 7:00,C,13.573,RC1L
7/31/2017 6:00,C,13.571,MC1L
7/31/2017 6:00,C,15.121,MC1H
7/31/2017 6:00,C,20.584,RC1H
7/31/2017 6:00,C,14.075,RC1L
7/31/2017 5:00,C,13.571,MC1L
7/31/2017 5:00,C,15.121,MC1H
7/31/2017 5:00,C,21.085,RC1H
7/31/2017 5:00,C,14.576,RC1L
7/31/2017 4:00,C,13.069,MC1L
7/31/2017 4:00,C,15.121,MC1H
7/31/2017 4:00,C,21.085,RC1H
7/31/2017 4:00,C,14.576,RC1L
7/31/2017 3:00,C,13.571,MC1L
7/31/2017 3:00,C,15.622,MC1H
7/31/2017 3:00,C,20.084,RC1H
7/31/2017 3:00,C,14.075,RC1L
7/31/2017 2:00,C,13.571,MC1L
7/31/2017 2:00,C,16.123,MC1H
7/31/2017 2:00,C,19.583,RC1H
7/31/2017 2:00,C,13.072,RC1L
7/31/2017 1:00,C,14.574,MC1L
7/31/2017 1:00,C,16.624,MC1H
7/31/2017 1:00,C,19.583,RC1H
7/31/2017 1:00,C,13.573,RC1L
7/31/2017 0:00,C,15.577,MC1L
7/31/2017 0:00,C,17.625,MC1H
7/31/2017 0:00,C,21.085,RC1H
7/31/2017 0:00,C,14.576,RC1L
7/30/2017 23:00,C,17.08,MC1L
7/30/2017 23:00,C,19.127,MC1H
7/30/2017 23:00,C,21.585,RC1H
7/30/2017 23:00,C,16.078,RC1L
